whistler_event_id,start_time,end_time,duration_s,peak_time,peak_score,peak_freq_hz,mean_fce_hz,mean_ratio,mean_background_excess,peak_freq_cv,band_occupancy,num_segments
1,2017-07-29 15:48:21.713203090,2017-07-29 15:48:21.963203090,0.375001653,2017-07-29 15:48:21.963203090,14.108781848905592,36.00009216023593,75.07892357326261,0.19872544313383853,43.02048134446657,0.0543928293220421,1.0,3
2,2017-07-29 15:48:23.431918054,2017-07-29 15:48:23.556918054,0.250001653,2017-07-29 15:48:23.431918054,6.434636823786775,24.00006144015729,50.29047628479178,0.033922904954113355,6.58029061736552,0.0,1.0,2
3,2017-07-29 15:48:33.244490019,2017-07-29 15:48:34.244490019,1.125001653,2017-07-29 15:48:33.244490019,16.58874867815676,32.000081920209716,137.7032909509559,0.5450335753184746,44.35478457601608,0.09404761120718226,0.7777777777777778,7
4,2017-07-29 15:49:11.682186843,2017-07-29 15:49:11.932186843,0.375001653,2017-07-29 15:49:11.932186843,12.07463688439746,44.00011264028836,201.0957770288221,0.8875343415568453,4.249138750782391,0.04761904761904761,0.6666666666666666,2
5,2017-07-29 15:51:34.245418175,2017-07-29 15:51:34.370418175,0.250001653,2017-07-29 15:51:34.370418175,17.946176989162026,32.000081920209716,154.21996604068946,0.8582851809578584,12.855384304198283,0.0,1.0,2
6,2017-07-29 15:52:34.123103265,2017-07-29 15:52:35.373103265,1.375001653,2017-07-29 15:52:35.123103265,6.951149073118499,32.000081920209716,114.86694463795106,0.36465260603172117,5.165493724193782,0.0911086233569578,0.6363636363636364,7
7,2017-07-29 15:52:44.404425230,2017-07-29 15:52:44.904425230,0.625001653,2017-07-29 15:52:44.904425230,9.178710174001953,32.000081920209716,114.05757262235356,0.37467444667254773,11.302575484709449,0.07905694150420946,1.0,5
8,2017-07-29 15:56:12.155453246,2017-07-29 15:56:12.405453246,0.375001653,2017-07-29 15:56:12.405453246,10.014785488799454,44.00011264028836,108.2134922187044,0.39626559472765405,12.523812876302022,0.19611613513818396,1.0,3
9,2017-07-29 15:56:14.624195211,2017-07-29 15:56:14.749195211,0.250001653,2017-07-29 15:56:14.749195211,8.391798575901856,28.000071680183503,58.914210635920924,0.04013041574155697,8.582847736269777,0.0,1.0,2
10,2017-07-29 15:56:28.780570175,2017-07-29 15:56:29.030570175,0.375001653,2017-07-29 15:56:28.780570175,16.614010235858466,32.000081920209716,94.22851197633169,0.2652971764781711,73.2402915621801,0.0543928293220421,1.0,3
11,2017-07-29 15:56:30.280570175,2017-07-29 15:56:30.405570175,0.250001653,2017-07-29 15:56:30.405570175,4.511011660040566,36.00009216023593,103.4702348242863,0.30538081300129893,4.178903084974044,0.0,1.0,2
12,2017-07-29 15:58:29.877248327,2017-07-29 15:58:30.127251634,0.37500465299999997,2017-07-29 15:58:29.877248327,20.802216875671675,123.99828584769644,250.85668095990908,0.759880338698539,10.235579699473845,0.056310109029498366,1.0,3
13,2017-07-29 15:58:57.314926783,2017-07-29 15:58:57.939935051,0.750009653,2017-07-29 15:58:57.439928437,21.450445378628974,131.99817525722523,273.18433209441815,0.14819106267427165,9.593468836972058,0.04594222192351893,1.0,6
14,2017-07-29 15:59:04.221207737,2017-07-29 15:59:04.471211044,0.37500465299999997,2017-07-29 15:59:04.471211044,37.84481876828994,103.99856232387444,259.01480527658185,0.9618546180804822,86.01064127837499,0.0505076272276105,1.0,3
15,2017-07-29 15:59:14.502532195,2017-07-29 15:59:14.877537156,0.500005653,2017-07-29 15:59:14.752535502,12.850046317023846,31.99955763811521,274.77537458738834,0.8913198393733707,4.9565213836129836,0.061487546190134586,0.75,3
16,2017-07-29 15:59:34.346423059,2017-07-29 15:59:34.846429674,0.6250076529999999,2017-07-29 15:59:34.846429674,27.48974577623618,75.99894939052362,259.90086183198605,0.9555198670966307,18.045612560785987,0.021276595744680857,1.0,5
17,2017-07-29 15:59:41.252702555,2017-07-29 15:59:42.877724053,1.750022653,2017-07-29 15:59:42.502719092,29.93441670322207,67.99905998099482,236.6987216923963,0.9451301735401074,14.93043714820305,0.16620434492540717,0.7142857142857143,10
18,2017-07-29 16:01:44.505500336,2017-07-29 16:01:45.380500336,1.000001653,2017-07-29 16:01:45.255500336,28.6212811801663,52.00013312034079,245.20569652760122,0.8545494899325657,11.70299228060728,0.09677419354838715,0.625,5
19,2017-07-29 16:02:21.693183160,2017-07-29 16:02:22.068183160,0.500001653,2017-07-29 16:02:21.943183160,15.926648232031008,48.00012288031458,143.14025794070704,0.4519468961299576,40.33959412304871,0.19633836312465056,1.0,4
20,2017-07-29 16:04:45.287603457,2017-07-29 16:04:45.412603457,0.250001653,2017-07-29 16:04:45.287603457,6.350460577548684,48.00012288031458,174.04077995944533,0.618749484741596,6.276312383250655,0.043478260869565286,1.0,2
21,2017-07-29 16:05:06.256534385,2017-07-29 16:05:06.506534385,0.375001653,2017-07-29 16:05:06.256534385,8.498277807418205,32.000081920209716,147.99864697422507,0.5698287196282298,7.962363281569329,0.13363062095621217,1.0,3
22,2017-07-29 16:05:27.912879281,2017-07-29 16:05:28.537879281,0.750001653,2017-07-29 16:05:27.912879281,21.28752481684243,60.00015360039322,162.36613923999116,0.9113367825517298,12.241109739550918,0.08333333333333331,0.8333333333333334,5
23,2017-07-29 16:06:01.133701229,2017-07-29 16:06:01.383701229,0.375001653,2017-07-29 16:06:01.258701229,16.955217950088866,40.00010240026214,216.11865958827488,0.511033170707151,112.26312619032326,0.0816496580927726,1.0,3
24,2017-07-29 16:06:36.290196090,2017-07-29 16:06:36.665196090,0.500001653,2017-07-29 16:06:36.290196090,16.181512814889285,40.00010240026214,139.7243806853958,0.49805685536700706,52.80968622325591,0.11768778828946258,1.0,4
25,2017-07-29 16:08:19.696941597,2017-07-29 16:08:20.446941597,0.875001653,2017-07-29 16:08:19.821941597,19.726870969730278,60.00015360039322,143.2870850136076,0.6170036007552823,9.68003284918831,0.05331846343697527,0.8571428571428571,6
26,2017-07-29 16:08:27.446984562,2017-07-29 16:08:27.571984562,0.250001653,2017-07-29 16:08:27.446984562,13.474215726062715,84.0002150405505,179.25747119356197,0.7066896120490238,5.581605545714833,0.0,1.0,2
